City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Bubaque,GW,79.25,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
133,Alyangula,AU,78.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
136,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
144,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
147,Ishige,JP,78.91,overcast clouds,36.1167,139.9667,Tsukuba Town Hotel
150,Kloulklubed,PW,78.98,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
151,Bismarck,US,75.04,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
153,Mora,CM,81.99,overcast clouds,11.0461,14.1401,Hotel Emergence
155,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
156,Atuona,PF,79.39,scattered clouds,-9.8,-139.0333,Villa Enata
158,Kamaishi,JP,77.95,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
159,Dali,CN,78.15,broken clouds,25.7,100.1833,Dali Travelling With Hostel
167,Aransas Pass,US,78.8,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
168,Kapaa,US,77.32,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
170,Namie,JP,82.54,broken clouds,37.4833,141.0,いこいの村なみえ
176,Vanimo,PG,76.75,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
178,Kokopo,PG,83.25,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
183,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
184,Padang,ID,78.35,light rain,-0.9492,100.3543,Mercure Padang
188,Atar,MR,84.16,broken clouds,20.5169,-13.0499,Oumou Elghoura
197,Samarai,PG,77.16,overcast clouds,-10.6167,150.6667,Nuli Sapi
202,Carnarvon,AU,78.87,few clouds,-24.8667,113.6333,Hospitality Carnarvon
208,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
214,Faanui,PF,81.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Duluth,US,82.98,clear sky,46.7833,-92.1066,South Pier Inn
226,Dongsheng,CN,77.83,clear sky,39.8161,109.9776,Crowne Plaza Ordos
230,Bontang,ID,84.67,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
231,Urusha,RU,75.63,clear sky,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
233,Tautira,PF,78.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
236,Keelung,TW,84.4,light rain,25.1283,121.7419,East Coast Star Boutique Hotel
237,Ambilobe,MG,80.17,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
238,Gizo,SB,83.59,broken clouds,-8.103,156.8419,Imagination Island
240,Buala,SB,82.92,light rain,-8.145,159.5921,Maringe Lagoon Lodge
241,Domoni,KM,79.23,broken clouds,-12.2569,44.5319,Al Djadid
244,Meulaboh,ID,84.25,overcast clouds,4.1363,96.1285,Kost Pria
245,Ishigaki,JP,78.93,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
250,Khandyga,RU,82.27,clear sky,62.6667,135.6,Apel'sin
254,Acajutla,SV,80.8,overcast clouds,13.5928,-89.8275,asi es
258,Hobyo,SO,82.13,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
261,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
271,Poum,NC,75.15,scattered clouds,-20.2333,164.0167,Gîte kajeon
