City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Marzuq,YE,2021-05-25 01:52:45,14.4,46.4667,76.8,23,8,5.82
240,San Policarpo,PH,2021-05-25 01:52:45,12.1791,125.5072,82.98,81,100,7.25
241,Marawi,PH,2021-05-25 01:52:46,7.9986,124.2928,81.64,67,98,3.67
242,San Carlos De Bariloche,AR,2021-05-25 01:50:27,-41.1456,-71.3082,46.15,77,40,13.56
243,Ouadda,CF,2021-05-25 01:52:46,8.0777,22.4007,70.79,85,97,4.05
244,Adrar,MR,2021-05-25 01:52:46,20.5022,-10.0711,85.96,19,36,16.37
245,Margate,GB,2021-05-25 01:52:47,51.3813,1.3862,49.69,73,85,8.01
246,Klaksvik,FO,2021-05-25 01:52:47,62.2266,-6.589,43.72,92,100,14.56
247,Lavrentiya,RU,2021-05-25 01:52:48,65.5833,-171.0,35.62,85,27,12.82
248,Cairns,AU,2021-05-25 01:48:19,-16.9167,145.7667,80.94,83,90,11.5
249,Brighton,GB,2021-05-25 01:48:38,50.8284,-0.1395,47.75,86,23,15.59
250,Rangapara,IN,2021-05-25 01:52:48,26.8167,92.65,78.35,88,100,5.21
251,Borzya,RU,2021-05-25 01:52:49,50.3833,116.5167,50.5,32,14,16.64
252,Ostrovnoy,RU,2021-05-25 01:52:49,68.0531,39.5131,33.8,72,58,13.53
253,Jacareacanga,BR,2021-05-25 01:52:50,-6.2222,-57.7528,76.48,80,66,0.47
254,Saint-Joseph,RE,2021-05-25 01:52:50,-21.3667,55.6167,68.36,76,15,8.34
255,Wanning,CN,2021-05-25 01:52:50,18.8003,110.3967,85.33,75,100,6.71
256,Vanimo,PG,2021-05-25 01:52:51,-2.6741,141.3028,85.53,69,100,4.36
257,Puerto Baquerizo Moreno,EC,2021-05-25 01:52:51,-0.9,-89.6,74.23,79,47,11.3
258,Traverse City,US,2021-05-25 01:49:26,44.7631,-85.6206,74.14,72,75,3.44
259,Vysokogornyy,RU,2021-05-25 01:52:52,50.1167,139.15,39.79,97,100,2.84
260,Tromso,NO,2021-05-25 01:52:52,69.6496,18.957,40.37,65,75,13.8
261,Arman,RU,2021-05-25 01:52:52,59.7,150.1667,48.27,60,34,6.29
262,Raudeberg,NO,2021-05-25 01:52:53,61.9875,5.1352,51.19,91,100,3.6
263,Namatanai,PG,2021-05-25 01:52:53,-3.6667,152.4333,82.27,81,97,6.53
264,Genthin,DE,2021-05-25 01:52:53,52.4,12.1667,55.72,92,100,4.45
265,Gaya,IN,2021-05-25 01:52:54,24.7833,85.0,78.71,69,75,0.0
266,Batsfjord,NO,2021-05-25 01:52:54,70.6345,29.7185,35.42,66,69,1.9
267,Majene,ID,2021-05-25 01:52:55,-3.5403,118.9707,84.67,70,10,7.78
268,Qasigiannguit,GL,2021-05-25 01:52:55,68.8193,-51.1922,42.17,39,100,32.84
269,Moss Point,US,2021-05-25 01:52:55,30.4116,-88.5345,75.27,83,1,0.0
270,Lompoc,US,2021-05-25 01:52:55,34.6391,-120.4579,81.37,70,1,18.99
271,Vostok,RU,2021-05-25 01:52:56,46.4856,135.8833,52.7,58,100,8.59
272,Padang,ID,2021-05-25 01:52:56,-0.9492,100.3543,80.65,71,87,1.52
273,Jumla,NP,2021-05-25 01:52:56,29.2747,82.1838,64.08,47,0,0.85
274,Morant Bay,JM,2021-05-25 01:52:57,17.8815,-76.4093,83.82,84,99,9.04
275,Kavieng,PG,2021-05-25 01:52:57,-2.5744,150.7967,81.19,83,100,9.46
276,Raga,SS,2021-05-25 01:52:57,8.4596,25.678,73.56,70,71,4.18
277,Chuy,UY,2021-05-25 01:52:58,-33.6971,-53.4616,51.91,74,0,12.82
278,Urusha,RU,2021-05-25 01:52:58,54.05,122.9,41.49,93,100,7.67
279,Rundu,NA,2021-05-25 01:52:58,-17.9333,19.7667,50.16,59,0,5.3
280,Norman Wells,CA,2021-05-25 01:52:59,65.282,-126.8329,55.44,41,20,8.05
281,Cedar City,US,2021-05-25 01:49:26,37.6775,-113.0619,67.19,10,1,0.0
282,Fengrun,CN,2021-05-25 01:52:59,39.8333,118.1167,69.82,14,58,12.37
283,Quelimane,MZ,2021-05-25 01:53:00,-17.8786,36.8883,66.15,88,75,7.0
284,Bardiyah,LY,2021-05-25 01:53:00,31.7561,25.0865,69.08,58,0,4.18
285,Geraldton,AU,2021-05-25 01:53:00,-28.7667,114.6,61.21,56,1,13.44
286,Chermoz,RU,2021-05-25 01:53:00,58.787,56.1489,51.4,82,100,2.55
287,Los Llanos De Aridane,ES,2021-05-25 01:53:01,28.6585,-17.9182,62.35,78,90,17.74
288,Saint-Dizier,FR,2021-05-25 01:53:01,48.4167,5.0833,44.65,94,100,18.21
