City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Yei,SS,4.095,30.6779,73.56,81,86,4.38,overcast clouds
327,Faya,SA,18.3851,42.4509,78.91,21,0,5.48,clear sky
328,Manokwari,ID,-0.8667,134.0833,80.11,84,71,5.17,broken clouds
329,Kabo,CF,7.6994,18.629,72.1,93,98,7.45,light rain
330,Dharchula,IN,29.85,80.5333,87.94,32,91,7.72,overcast clouds
331,Sibolga,ID,1.7427,98.7792,80.06,67,100,1.88,overcast clouds
332,Novodugino,RU,55.6305,34.2842,61.09,67,95,6.96,overcast clouds
333,Peniche,PT,39.3558,-9.3811,60.73,88,39,16.64,scattered clouds
334,Ibra,OM,22.6906,58.5334,106.3,13,0,6.02,clear sky
335,San Patricio,US,28.017,-97.5169,78.66,86,39,6.2,scattered clouds
336,Evensk,RU,61.95,159.2333,42.06,93,99,8.55,overcast clouds
337,Nadym,RU,65.5333,72.5167,53.42,57,98,24.85,overcast clouds
338,Boa Vista,BR,2.8197,-60.6733,78.78,83,0,2.3,clear sky
339,Catanduva,BR,-21.1378,-48.9728,70.09,56,0,9.75,clear sky
340,Beausejour,CA,50.0622,-96.5167,69.57,68,23,4.81,few clouds
341,Monrovia,LR,6.3005,-10.7969,78.4,85,76,2.06,light rain
342,Sola,VU,-13.8833,167.55,79.45,75,99,13.65,overcast clouds
343,Asfi,MA,32.2994,-9.2372,61.9,82,19,8.81,few clouds
344,Ust-Maya,RU,60.4167,134.5333,80.51,29,30,3.06,scattered clouds
345,Oranjemund,NA,-28.55,16.4333,60.03,25,0,13.33,clear sky
346,Hammerfest,NO,70.6634,23.6821,43.25,93,75,11.5,broken clouds
347,Sindor,RU,62.8629,51.8905,75.88,31,31,9.04,scattered clouds
348,Ust-Tsilma,RU,65.441,52.1498,72.7,37,34,9.6,scattered clouds
349,Sayat,TM,38.7839,63.8803,100.27,7,16,12.12,few clouds
